CPU Temperature, HAT Temperature
83.7, 48.36
83.15, 48.33
82.6, 48.29
83.7, 48.33
83.7, 48.42
84.8, 48.4
85.9, 48.33
84.8, 48.21
83.7, 48.18
83.15, 48.38
84.8, 48.44
84.8, 48.4
83.7, 48.49
83.7, 48.42
84.25, 48.36
84.25, 48.46
85.35, 48.31
86.45, 48.29
84.8, 48.4
82.6, 48.44
85.35, 48.49
85.35, 48.4
84.8, 48.34
86.45, 48.38
84.25, 48.51
84.8, 48.49
85.35, 48.46
85.9, 48.46
84.8, 48.46
85.35, 48.53
84.25, 48.49
85.35, 48.42
85.35, 48.62
84.8, 48.44
85.35, 48.49
83.7, 48.53
84.25, 48.53
83.7, 48.48
85.9, 48.38
85.9, 48.44
84.8, 48.46
85.35, 48.49
85.9, 48.44
85.35, 48.44
85.9, 48.44
84.8, 48.46
84.25, 48.36
84.25, 48.44
84.25, 48.29
87.0, 48.53
85.9, 48.31
86.45, 48.46
84.8, 48.61
85.9, 48.44
85.35, 48.4
84.8, 48.44
84.8, 48.48
84.8, 48.51
83.7, 48.57
84.25, 48.55
86.45, 48.49
84.25, 48.34
84.25, 48.4
84.8, 48.64
85.35, 48.55
84.8, 48.53
83.7, 48.42
84.25, 48.49
85.9, 48.49
85.9, 48.53
83.7, 48.42
84.25, 48.49
85.35, 48.48
86.45, 48.42
85.9, 48.46
84.8, 48.53
83.15, 48.57
85.35, 48.53
84.8, 48.48
84.8, 48.55
84.8, 48.44
85.9, 48.48
85.35, 48.57
84.25, 48.48
85.9, 48.66
83.15, 48.4
84.25, 48.36
85.35, 48.48
83.7, 48.38
84.25, 48.49
85.35, 48.4
84.8, 48.44
85.35, 48.61
83.7, 48.55
85.9, 48.55
85.35, 48.64
85.9, 48.77
85.35, 48.64
85.35, 48.55
86.45, 48.7
85.9, 48.59
86.45, 48.59
85.35, 48.74
87.0, 48.76
86.45, 48.7
84.8, 48.76
85.35, 48.74
86.45, 48.77
85.35, 48.79
84.8, 48.81
83.7, 48.81
83.7, 48.91
84.8, 48.83
85.35, 48.81
84.8, 48.79
84.25, 48.83
85.9, 48.83
85.35, 48.81
85.35, 48.74
85.35, 48.87
86.45, 48.81
85.9, 48.7
84.8, 48.83
86.45, 48.81
85.35, 48.81
85.9, 48.89
87.55, 48.96
84.25, 48.92
85.35, 48.96
84.8, 49.0
85.35, 48.98
84.8, 48.92
85.9, 48.92
85.35, 48.91
86.45, 48.92
87.0, 48.96
85.9, 48.91
85.9, 48.92
85.35, 48.94
85.9, 48.96
85.35, 49.05
84.25, 49.0
85.9, 48.92
85.9, 48.91
85.9, 49.02
85.35, 48.87
85.9, 49.0
85.9, 48.94
84.8, 48.98
85.9, 48.85
84.25, 49.13
86.45, 49.0
84.8, 49.11
84.8, 49.15
86.45, 49.09
84.25, 49.09
84.25, 49.09
86.45, 48.94
85.35, 49.09
86.45, 49.15
84.8, 49.28
84.8, 49.19
85.9, 49.2
85.9, 49.13
84.25, 49.15
84.8, 49.26
85.35, 49.13
87.55, 49.15
86.45, 49.24
85.35, 49.19
84.25, 49.15
85.9, 49.26
85.9, 49.04
84.8, 49.28
85.35, 49.28
85.9, 49.24
86.45, 49.22
84.8, 49.22
85.9, 49.24
85.9, 49.11
84.8, 49.19
87.0, 49.02
84.8, 49.22
85.9, 49.3
86.45, 49.32
85.35, 49.33
83.7, 49.28
84.25, 49.24
85.35, 49.26
85.35, 49.33
85.9, 49.24
85.9, 49.32
85.9, 49.39
85.9, 49.41
85.9, 49.56
85.9, 49.52
85.9, 49.35
85.35, 49.37
84.25, 49.41
85.9, 49.47
84.8, 49.45
86.45, 49.33
85.9, 49.33
86.45, 49.56
84.8, 49.41
85.9, 49.35
86.45, 49.45
87.0, 49.43
84.8, 49.52
85.9, 49.39
84.25, 49.52
84.25, 49.48
85.35, 49.48
85.9, 49.45
84.8, 49.39
85.9, 49.47
85.9, 49.5
84.8, 49.58
86.45, 49.6
84.8, 49.65
84.8, 49.56
84.8, 49.52
84.25, 49.56
84.8, 49.37
87.0, 49.54
85.35, 49.45
87.55, 49.41
84.8, 49.6
85.35, 49.48
84.8, 49.52
84.8, 49.58
87.0, 49.75
85.35, 49.61
85.9, 49.61
85.9, 49.73
86.45, 49.48
84.8, 49.63
85.9, 49.5
85.35, 49.52